GEOID,County_Name,Region,shore-Adjacent
1003,Baldwin,Gulf of Mexico,1
1097,Mobile,Gulf of Mexico,1
2013,Aleutians East,North Pacific,1
2016,Aleutians West,North Pacific,1
2020,Anchorage,North Pacific,1
2050,Bethel,North Pacific,1
2060,Bristol Bay,North Pacific,1
2070,Dillingham,North Pacific,1
2100,Haines,North Pacific,1
2105,Hoonah-Angoon Census Area,North Pacific,1
2110,Juneau,North Pacific,1
2122,Kenai Peninsula,North Pacific,1
2130,Ketchikan Gateway,North Pacific,1
2150,Kodiak Island,North Pacific,1
2164,Lake and Peninsula,North Pacific,1
2170,Matanuska-Susitna,North Pacific,1
2180,Nome,North Pacific,1
2185,North Slope,North Pacific,1
2188,Northwest Arctic,North Pacific,1
2195,Petersburg Census Area,North Pacific,1
2198,Prince of Wales-Hyder Census Area,North Pacific,1
2201,Prince of Wales-Outer Ketchika,North Pacific,1
2220,Sitka,North Pacific,1
2232,Skagway-Hoonah-Angoon,North Pacific,1
2261,Valdez-Cordova,North Pacific,1
2270,Wade Hampton,North Pacific,1
2275,Wrangell City and Borough,North Pacific,1
2280,Wrangell-Petersburg,North Pacific,1
2282,Yakutat Borough,North Pacific,1
6001,Alameda,West,1
6013,Contra Costa,West,1
6015,Del Norte,West,1
6023,Humboldt,West,1
6037,Los Angeles,West,1
6041,Marin,West,1
6045,Mendocino,West,1
6053,Monterey,West,1
6055,Napa,West,0
6059,Orange,West,1
6067,Sacramento,West,0
6073,San Diego,West,1
6075,San Francisco,West,1
6077,San Joaquin,West,0
6079,San Luis Obispo,West,1
6081,San Mateo,West,1
6083,Santa Barbara,West,1
6085,Santa Clara,West,1
6087,Santa Cruz,West,1
6095,Solano,West,1
6097,Sonoma,West,1
6111,Ventura,West,1
6113,Yolo,West,0
9001,Fairfield,Northeast,1
9007,Middlesex,Northeast,1
9009,New Haven,Northeast,1
9011,New London,Northeast,1
10001,Kent,Mid-Atlantic,1
10003,New Castle,Mid-Atlantic,1
10005,Sussex,Mid-Atlantic,1
12005,Bay,Gulf of Mexico,1
12009,Brevard,Southeast,1
12011,Broward,Southeast,1
12015,Charlotte,Gulf of Mexico,1
12017,Citrus,Gulf of Mexico,1
12019,Clay,Southeast,0
12021,Collier,Gulf of Mexico,1
12029,Dixie,Gulf of Mexico,1
12031,Duval,Southeast,1
12033,Escambia,Gulf of Mexico,1
12035,Flagler,Southeast,1
12037,Franklin,Gulf of Mexico,1
12045,Gulf,Gulf of Mexico,1
12053,Hernando,Gulf of Mexico,1
12057,Hillsborough,Gulf of Mexico,1
12061,Indian River,Southeast,1
12065,Jefferson,Gulf of Mexico,1
12069,Lake,Gulf of Mexico,0
